mean_thickness,std_thickness,tdose,tsat
0.99825484,0.0030227392,0.6094651,0.75007397
0.7803379,0.010516158,0.3962147,1.1890591
0.47637454,0.13821682,1.5518405,7.650746
0.95208156,0.00040184133,3.4133663,5.1854835
0.828578,0.0014762352,2.152209,5.614483
0.978368,0.00017332491,15.455345,18.62504
0.2739855,0.30365407,0.04278305,0.19422996
0.9235084,0.008370798,13.160334,23.918884
0.98488593,0.0026305758,0.49859554,0.58471614
0.9795863,0.0010636564,0.35212362,0.4251417
0.94575334,0.0020133988,0.5005347,0.7978828
0.9992045,0.0013767428,0.8416636,0.99049103
0.8031293,0.00055746397,0.5199632,1.4726115
0.9960437,0.006852191,0.019240938,0.023806648
0.8639711,0.0028423206,0.47951216,1.1065838
0.48464936,0.48513445,0.0048271203,0.011758228
0.85122555,0.16650595,0.00663301,0.012524461
0.9481122,0.015684009,0.011458077,0.018716644
0.9535798,0.018115755,0.18989377,0.30300474
0.7100732,0.0017300899,0.5279013,1.9582005
0.98325706,0.023533294,0.2395492,0.323991
0.49109468,0.4908716,0.0046646367,0.010966628
0.8880141,0.019554958,2.378594,5.0075884
0.93769944,0.007919733,0.86765635,1.4715848
0.34340578,0.3808726,0.008482767,0.029082298
0.22340572,0.3869497,0.02745936,0.12832391
0.92120343,0.007039769,0.04041718,0.07411509
0.9908308,0.015881324,1.5175998,1.9131496
0.99764246,0.0040834094,0.046400752,0.057001255
0.9955047,0.0075133247,0.08446357,0.103585854
0.7380138,0.4265417,1.1736156,1.9482541
0.9654755,0.004897515,0.30195034,0.42970964
0.6628494,0.076294534,0.043162905,0.1581578
0.9388705,0.00019480889,22.859127,37.6937
0.33220273,0.3284041,0.0037471899,0.01490542
0.989272,0.017052185,0.26606473,0.34422672
0.9211983,0.08061239,0.016902646,0.02918288
0.9803003,0.0007850617,9.524979,11.346479
0.95797396,0.008171822,0.032395262,0.049206976
0.97956264,0.00038425677,15.086559,17.992758
0.58644235,0.17171648,0.05231176,0.18872046
0.44941494,0.21271598,1.7155218,7.469934
0.4772728,0.36001322,0.086474374,0.26108286
0.6726965,0.21117997,0.66659296,1.8535222
0.6113968,0.015805125,2.6291912,12.39876
0.50483006,0.49416178,0.20504002,0.42790502
0.98121816,0.00040395968,2.1226034,2.480868
0.977439,0.00027194087,32.33565,39.459095
0.8471334,0.029870603,0.60345685,1.4473009
0.8703755,0.002269526,0.12234452,0.27578205
0.82035726,0.0007175536,1.0598217,2.841408
0.7052818,0.01718627,0.022702694,0.08319949
0.9788898,0.0008340928,4.6510286,5.6371
0.7736081,0.0029930973,7.5267434,23.251534
0.99807864,0.002896056,3.9754176,4.517242
0.9698229,0.00032162745,0.6341856,0.83737874
0.5644504,0.046388857,0.14433043,0.71896505
0.6500222,0.027673,0.04579126,0.19052246
0.97676575,0.005894147,0.039531954,0.05220309
0.5415831,0.46214718,0.5557606,1.0508115
0.9613262,0.0022381311,0.067446336,0.09710683
0.30321205,0.4025509,0.11902365,0.39675945
0.6509088,0.4061903,0.11641008,0.2211054
0.9979961,0.0033164925,2.0243464,2.368948
0.79585433,0.007850521,0.19552936,0.56210655
0.4613398,0.16155054,0.0114141675,0.05488109
0.8477367,0.0015738197,0.1522584,0.37231898
0.92984766,0.0023908739,0.49097005,0.85614353
